school_code,county_name,district_name,school_name,enrollment,frpm_count,frpm_perc,num_act_takers,act_avg_score_read,act_avg_score_eng,act_avg_score_math,act_avg_score_sci,act_num_above_21,act_perc_above_21,num_sat_takers,sat_num_read_write_benchmark,sat_perc_read_write_benchmark,sat_num_math_benchmark,sat_perc_math_benchmark,sat_total_num_both_benchmarks,sat_perc_both_benchmarks
3631066,San Bernardino,Bear Valley Unified,Big Bear High,717,488,0.6809999999999999,9.0,,,,,,,36.0,31.0,0.8611,20.0,0.5556,20.0,0.5556
126243,San Bernardino,Chaffey Joint Union High,Chaffey District Online High,85,36,0.424,6.0,,,,,,,17.0,15.0,0.8824,10.0,0.5882000000000001,10.0,0.5882000000000001
3630225,San Bernardino,Chaffey Joint Union High,Alta Loma High,2546,1342,0.527,56.0,23.0,22.0,22.0,22.0,34.0,0.6071,231.0,164.0,0.71,107.0,0.4632,101.0,0.4372
3630373,San Bernardino,Chaffey Joint Union High,Etiwanda High,3526,1530,0.434,84.0,21.0,21.0,22.0,22.0,48.0,0.5714,399.0,323.0,0.8095,216.0,0.5414,205.0,0.5138
3630571,San Bernardino,Chaffey Joint Union High,Rancho Cucamonga High,3434,1409,0.41,77.0,23.0,22.0,22.0,22.0,41.0,0.5325,407.0,309.0,0.7592,208.0,0.5111,195.0,0.47909999999999997
3631058,San Bernardino,Chaffey Joint Union High,Los Osos High,3052,1044,0.342,149.0,24.0,24.0,25.0,24.0,106.0,0.7114,367.0,312.0,0.8501000000000001,243.0,0.6620999999999999,234.0,0.6376
3631157,San Bernardino,Chaffey Joint Union High,Colony High,2191,1603,0.732,55.0,20.0,20.0,20.0,20.0,22.0,0.4,213.0,128.0,0.6009,79.0,0.3709,71.0,0.3333
3632205,San Bernardino,Chaffey Joint Union High,Chaffey High,3231,2785,0.862,31.0,21.0,20.0,20.0,20.0,14.0,0.45159999999999995,328.0,168.0,0.5122,67.0,0.2043,61.0,0.18600000000000003
3633906,San Bernardino,Chaffey Joint Union High,Montclair High,2882,2512,0.872,257.0,19.0,17.0,19.0,19.0,80.0,0.31129999999999997,270.0,160.0,0.5926,105.0,0.3889,97.0,0.3593
3634482,San Bernardino,Chaffey Joint Union High,Ontario High,2419,2022,0.836,81.0,19.0,17.0,19.0,18.0,19.0,0.2346,205.0,116.0,0.5659000000000001,64.0,0.3122,59.0,0.2878
3630035,San Bernardino,Chino Valley Unified,Don Antonio Lugo High,1660,1110,0.669,22.0,21.0,22.0,21.0,21.0,9.0,0.40909999999999996,282.0,149.0,0.5284,81.0,0.2872,66.0,0.23399999999999999
3630522,San Bernardino,Chino Valley Unified,Ruben S. Ayala High,2743,739,0.26899999999999996,133.0,25.0,26.0,25.0,25.0,108.0,0.812,556.0,458.0,0.8237000000000001,362.0,0.6511,352.0,0.6331
3631017,San Bernardino,Chino Valley Unified,Chino Hills High,2774,814,0.293,79.0,25.0,24.0,24.0,23.0,58.0,0.7342,514.0,393.0,0.7646,297.0,0.5778,283.0,0.5506
3631769,San Bernardino,Chino Valley Unified,Buena Vista Continuation High,161,105,0.652,,,,,,,,79.0,6.0,0.0759,0.0,0.0,0.0,0.0
3632502,San Bernardino,Chino Valley Unified,Chino High,1847,1220,0.6609999999999999,16.0,22.0,21.0,20.0,22.0,8.0,0.5,354.0,174.0,0.4915,84.0,0.2373,77.0,0.2175
125500,San Bernardino,Colton Joint Unified,Grand Terrace High School at the Ray Abril Jr. Educational Complex,1955,1266,0.648,38.0,21.0,21.0,20.0,21.0,21.0,0.5526,166.0,119.0,0.7169,73.0,0.43979999999999997,67.0,0.4036
3631322,San Bernardino,Colton Joint Unified,Bloomington High,2361,1872,0.7929999999999999,17.0,21.0,21.0,20.0,21.0,11.0,0.6470999999999999,145.0,87.0,0.6,48.0,0.331,45.0,0.3103
